0,1,2,3,4,5,6,7,accuracy,macro avg,weighted avg,corruption,acuraciaPorClasse
"{'precision': 0.9940357852882704, 'recall': 1.0, 'f1-score': 0.9970089730807578, 'support': 500.0}","{'precision': 0.9940357852882704, 'recall': 1.0, 'f1-score': 0.9970089730807578, 'support': 500.0}","{'precision': 0.998003992015968, 'recall': 1.0, 'f1-score': 0.999000999000999, 'support': 500.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 500.0}","{'precision': 0.9899193548387096, 'recall': 0.982, 'f1-score': 0.9859437751004017, 'support': 500.0}","{'precision': 0.998003992015968, 'recall': 1.0, 'f1-score': 0.999000999000999, 'support': 500.0}","{'precision': 1.0, 'recall': 0.982, 'f1-score': 0.9909182643794148, 'support': 500.0}","{'precision': 0.9841584158415841, 'recall': 0.994, 'f1-score': 0.9890547263681592, 'support': 500.0}",0.99475,"{'precision': 0.9947696656610964, 'recall': 0.99475, 'f1-score': 0.9947420887514362, 'support': 4000.0}","{'precision': 0.9947696656610963, 'recall': 0.99475, 'f1-score': 0.9947420887514362, 'support': 4000.0}",Brightness severity 1,"[1.0, 1.0, 1.0, 1.0, 0.982, 1.0, 0.982, 0.994]"
"{'precision': 0.9823182711198428, 'recall': 1.0, 'f1-score': 0.9910802775024777, 'support': 500.0}","{'precision': 0.9784735812133072, 'recall': 1.0, 'f1-score': 0.9891196834817013, 'support': 500.0}","{'precision': 0.998003992015968, 'recall': 1.0, 'f1-score': 0.999000999000999, 'support': 500.0}","{'precision': 1.0, 'recall': 0.996, 'f1-score': 0.9979959919839679, 'support': 500.0}","{'precision': 0.9876796714579056, 'recall': 0.962, 'f1-score': 0.9746707193515705, 'support': 500.0}","{'precision': 0.9940357852882704, 'recall': 1.0, 'f1-score': 0.9970089730807578, 'support': 500.0}","{'precision': 0.9979296066252588, 'recall': 0.964, 'f1-score': 0.9806714140386572, 'support': 500.0}","{'precision': 0.968503937007874, 'recall': 0.984, 'f1-score': 0.9761904761904762, 'support': 500.0}",0.98825,"{'precision': 0.9883681055910534, 'recall': 0.9882500000000001, 'f1-score': 0.988217316828826, 'support': 4000.0}","{'precision': 0.9883681055910534, 'recall': 0.98825, 'f1-score': 0.988217316828826, 'support': 4000.0}",Brightness severity 2,"[1.0, 1.0, 1.0, 0.996, 0.962, 1.0, 0.964, 0.984]"
"{'precision': 0.9505703422053232, 'recall': 1.0, 'f1-score': 0.9746588693957114, 'support': 500.0}","{'precision': 0.9633911368015414, 'recall': 1.0, 'f1-score': 0.9813542688910697, 'support': 500.0}","{'precision': 0.9979919678714859, 'recall': 0.994, 'f1-score': 0.9959919839679359, 'support': 500.0}","{'precision': 1.0, 'recall': 0.992, 'f1-score': 0.9959839357429718, 'support': 500.0}","{'precision': 0.9850107066381156, 'recall': 0.92, 'f1-score': 0.9513960703205792, 'support': 500.0}","{'precision': 0.9861660079051383, 'recall': 0.998, 'f1-score': 0.9920477137176938, 'support': 500.0}","{'precision': 0.9957264957264957, 'recall': 0.932, 'f1-score': 0.9628099173553719, 'support': 500.0}","{'precision': 0.9403846153846154, 'recall': 0.978, 'f1-score': 0.9588235294117647, 'support': 500.0}",0.97675,"{'precision': 0.9774051590665895, 'recall': 0.97675, 'f1-score': 0.9766332861003874, 'support': 4000.0}","{'precision': 0.9774051590665894, 'recall': 0.97675, 'f1-score': 0.9766332861003872, 'support': 4000.0}",Brightness severity 3,"[1.0, 1.0, 0.994, 0.992, 0.92, 0.998, 0.932, 0.978]"
"{'precision': 0.8802816901408451, 'recall': 1.0, 'f1-score': 0.9363295880149812, 'support': 500.0}","{'precision': 0.8928571428571429, 'recall': 1.0, 'f1-score': 0.9433962264150944, 'support': 500.0}","{'precision': 0.9979879275653923, 'recall': 0.992, 'f1-score': 0.9949849548645938, 'support': 500.0}","{'precision': 1.0, 'recall': 0.982, 'f1-score': 0.9909182643794148, 'support': 500.0}","{'precision': 0.9877450980392157, 'recall': 0.806, 'f1-score': 0.8876651982378855, 'support': 500.0}","{'precision': 0.9781312127236581, 'recall': 0.984, 'f1-score': 0.9810568295114656, 'support': 500.0}","{'precision': 0.9882629107981221, 'recall': 0.842, 'f1-score': 0.9092872570194385, 'support': 500.0}","{'precision': 0.8775137111517367, 'recall': 0.96, 'f1-score': 0.9169054441260746, 'support': 500.0}",0.94575,"{'precision': 0.9503474616595141, 'recall': 0.9457500000000001, 'f1-score': 0.9450679703211186, 'support': 4000.0}","{'precision': 0.9503474616595142, 'recall': 0.94575, 'f1-score': 0.9450679703211186, 'support': 4000.0}",Brightness severity 4,"[1.0, 1.0, 0.992, 0.982, 0.806, 0.984, 0.842, 0.96]"
"{'precision': 0.6188118811881188, 'recall': 1.0, 'f1-score': 0.764525993883792, 'support': 500.0}","{'precision': 0.6816939890710383, 'recall': 0.998, 'f1-score': 0.810064935064935, 'support': 500.0}","{'precision': 1.0, 'recall': 0.988, 'f1-score': 0.993963782696177, 'support': 500.0}","{'precision': 1.0, 'recall': 0.878, 'f1-score': 0.9350372736954207, 'support': 500.0}","{'precision': 0.9640718562874252, 'recall': 0.322, 'f1-score': 0.4827586206896552, 'support': 500.0}","{'precision': 0.9741935483870968, 'recall': 0.906, 'f1-score': 0.938860103626943, 'support': 500.0}","{'precision': 0.9725609756097561, 'recall': 0.638, 'f1-score': 0.7705314009661836, 'support': 500.0}","{'precision': 0.7548500881834215, 'recall': 0.856, 'f1-score': 0.8022492970946579, 'support': 500.0}",0.82325,"{'precision': 0.870772792340857, 'recall': 0.82325, 'f1-score': 0.8122489259647205, 'support': 4000.0}","{'precision': 0.870772792340857, 'recall': 0.82325, 'f1-score': 0.8122489259647205, 'support': 4000.0}",Brightness severity 5,"[1.0, 0.998, 0.988, 0.878, 0.322, 0.906, 0.638, 0.856]"
"{'precision': 0.9915433403805497, 'recall': 0.938, 'f1-score': 0.9640287769784173, 'support': 500.0}","{'precision': 0.8846153846153846, 'recall': 0.966, 'f1-score': 0.9235181644359465, 'support': 500.0}","{'precision': 0.9960159362549801, 'recall': 1.0, 'f1-score': 0.998003992015968, 'support': 500.0}","{'precision': 0.9612403100775194, 'recall': 0.992, 'f1-score': 0.9763779527559056, 'support': 500.0}","{'precision': 0.9613899613899614, 'recall': 0.498, 'f1-score': 0.6561264822134387, 'support': 500.0}","{'precision': 1.0, 'recall': 0.944, 'f1-score': 0.9711934156378601, 'support': 500.0}","{'precision': 0.8864468864468864, 'recall': 0.968, 'f1-score': 0.9254302103250478, 'support': 500.0}","{'precision': 0.717201166180758, 'recall': 0.984, 'f1-score': 0.8296795952782462, 'support': 500.0}",0.91125,"{'precision': 0.924806623168255, 'recall': 0.91125, 'f1-score': 0.9055448237051037, 'support': 4000.0}","{'precision': 0.9248066231682549, 'recall': 0.91125, 'f1-score': 0.9055448237051037, 'support': 4000.0}",Contrast severity 1,"[0.938, 0.966, 1.0, 0.992, 0.498, 0.944, 0.968, 0.984]"
"{'precision': 0.8392857142857143, 'recall': 0.47, 'f1-score': 0.6025641025641025, 'support': 500.0}","{'precision': 0.4219712525667351, 'recall': 0.822, 'f1-score': 0.5576662143826323, 'support': 500.0}","{'precision': 0.9438669438669439, 'recall': 0.908, 'f1-score': 0.9255861365953109, 'support': 500.0}","{'precision': 0.5760869565217391, 'recall': 0.954, 'f1-score': 0.7183734939759037, 'support': 500.0}","{'precision': 0.11363636363636363, 'recall': 0.01, 'f1-score': 0.01838235294117647, 'support': 500.0}","{'precision': 1.0, 'recall': 0.332, 'f1-score': 0.4984984984984985, 'support': 500.0}","{'precision': 0.6472868217054264, 'recall': 0.334, 'f1-score': 0.44063324538258575, 'support': 500.0}","{'precision': 0.35810113519091846, 'recall': 0.694, 'f1-score': 0.472430224642614, 'support': 500.0}",0.5655,"{'precision': 0.6125293984717302, 'recall': 0.5655, 'f1-score': 0.5292667836228531, 'support': 4000.0}","{'precision': 0.61252939847173, 'recall': 0.5655, 'f1-score': 0.5292667836228531, 'support': 4000.0}",Contrast severity 2,"[0.47, 0.822, 0.908, 0.954, 0.01, 0.332, 0.334, 0.694]"
"{'precision': 0.706140350877193, 'recall': 0.322, 'f1-score': 0.4423076923076923, 'support': 500.0}","{'precision': 0.26509023024268824, 'recall': 0.852, 'f1-score': 0.40436639772187943, 'support': 500.0}","{'precision': 0.9718670076726342, 'recall': 0.76, 'f1-score': 0.8529741863075196, 'support': 500.0}","{'precision': 0.4337686567164179, 'recall': 0.93, 'f1-score': 0.5916030534351145, 'support': 500.0}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 500.0}","{'precision': 1.0, 'recall': 0.074, 'f1-score': 0.1378026070763501, 'support': 500.0}","{'precision': 0.29508196721311475, 'recall': 0.036, 'f1-score': 0.06417112299465241, 'support': 500.0}","{'precision': 0.2651646447140381, 'recall': 0.306, 'f1-score': 0.2841225626740947, 'support': 500.0}",0.41,"{'precision': 0.49213910717951076, 'recall': 0.41, 'f1-score': 0.3471684528146629, 'support': 4000.0}","{'precision': 0.4921391071795108, 'recall': 0.41, 'f1-score': 0.34716845281466296, 'support': 4000.0}",Contrast severity 3,"[0.322, 0.852, 0.76, 0.93, 0.0, 0.074, 0.036, 0.306]"
"{'precision': 0.5116279069767442, 'recall': 0.22, 'f1-score': 0.3076923076923077, 'support': 500.0}","{'precision': 0.19786096256684493, 'recall': 0.888, 'f1-score': 0.3236151603498542, 'support': 500.0}","{'precision': 0.9906103286384976, 'recall': 0.422, 'f1-score': 0.5918653576437588, 'support': 500.0}","{'precision': 0.3847533632286996, 'recall': 0.858, 'f1-score': 0.5312693498452012, 'support': 500.0}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 500.0}","{'precision': 1.0, 'recall': 0.01, 'f1-score': 0.019801980198019802, 'support': 500.0}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 500.0}","{'precision': 0.18181818181818182, 'recall': 0.072, 'f1-score': 0.10315186246418338, 'support': 500.0}",0.30875,"{'precision': 0.40833384290362107, 'recall': 0.30874999999999997, 'f1-score': 0.23467450227416567, 'support': 4000.0}","{'precision': 0.40833384290362107, 'recall': 0.30875, 'f1-score': 0.23467450227416564, 'support': 4000.0}",Contrast severity 4,"[0.22, 0.888, 0.422, 0.858, 0.0, 0.01, 0.0, 0.072]"
"{'precision': 0.7050359712230215, 'recall': 0.196, 'f1-score': 0.30672926447574334, 'support': 500.0}","{'precision': 0.17640449438202246, 'recall': 0.942, 'f1-score': 0.29716088328075707, 'support': 500.0}","{'precision': 1.0, 'recall': 0.09, 'f1-score': 0.1651376146788991, 'support': 500.0}","{'precision': 0.35122838944494994, 'recall': 0.772, 'f1-score': 0.482801751094434, 'support': 500.0}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 500.0}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 500.0}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 500.0}","{'precision': 0.17777777777777778, 'recall': 0.016, 'f1-score': 0.029357798165137616, 'support': 500.0}",0.252,"{'precision': 0.3013058291034714, 'recall': 0.252, 'f1-score': 0.1601484139618714, 'support': 4000.0}","{'precision': 0.3013058291034715, 'recall': 0.252, 'f1-score': 0.1601484139618714, 'support': 4000.0}",Contrast severity 5,"[0.196, 0.942, 0.09, 0.772, 0.0, 0.0, 0.0, 0.016]"
