0,1,2,3,4,5,6,7,accuracy,macro avg,weighted avg,corruption,acuraciaPorClasse
"{'precision': 0.998003992015968, 'recall': 1.0, 'f1-score': 0.999000999000999, 'support': 500.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 500.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 500.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 500.0}","{'precision': 1.0, 'recall': 0.996, 'f1-score': 0.9979959919839679, 'support': 500.0}","{'precision': 1.0, 'recall': 0.994, 'f1-score': 0.9969909729187563, 'support': 500.0}","{'precision': 1.0, 'recall': 0.998, 'f1-score': 0.998998998998999, 'support': 500.0}","{'precision': 0.9900990099009901, 'recall': 1.0, 'f1-score': 0.9950248756218906, 'support': 500.0}",0.9985,"{'precision': 0.9985128752396197, 'recall': 0.9984999999999999, 'f1-score': 0.9985014798155766, 'support': 4000.0}","{'precision': 0.9985128752396197, 'recall': 0.9985, 'f1-score': 0.9985014798155767, 'support': 4000.0}",Brightness severity 1,"[1.0, 1.0, 1.0, 1.0, 0.996, 0.994, 0.998, 1.0]"
"{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 500.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 500.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 500.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 500.0}","{'precision': 1.0, 'recall': 0.994, 'f1-score': 0.9969909729187563, 'support': 500.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 500.0}","{'precision': 1.0, 'recall': 0.994, 'f1-score': 0.9969909729187563, 'support': 500.0}","{'precision': 0.9881422924901185, 'recall': 1.0, 'f1-score': 0.9940357852882704, 'support': 500.0}",0.9985,"{'precision': 0.9985177865612649, 'recall': 0.9984999999999999, 'f1-score': 0.9985022163907229, 'support': 4000.0}","{'precision': 0.9985177865612648, 'recall': 0.9985, 'f1-score': 0.9985022163907229, 'support': 4000.0}",Brightness severity 2,"[1.0, 1.0, 1.0, 1.0, 0.994, 1.0, 0.994, 1.0]"
"{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 500.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 500.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 500.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 500.0}","{'precision': 1.0, 'recall': 0.994, 'f1-score': 0.9969909729187563, 'support': 500.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 500.0}","{'precision': 0.99, 'recall': 0.99, 'f1-score': 0.99, 'support': 500.0}","{'precision': 0.9840954274353877, 'recall': 0.99, 'f1-score': 0.9870388833499502, 'support': 500.0}",0.99675,"{'precision': 0.9967619284294235, 'recall': 0.99675, 'f1-score': 0.9967537320335883, 'support': 4000.0}","{'precision': 0.9967619284294235, 'recall': 0.99675, 'f1-score': 0.9967537320335882, 'support': 4000.0}",Brightness severity 3,"[1.0, 1.0, 1.0, 1.0, 0.994, 1.0, 0.99, 0.99]"
"{'precision': 0.9842209072978304, 'recall': 0.998, 'f1-score': 0.9910625620655412, 'support': 500.0}","{'precision': 1.0, 'recall': 0.996, 'f1-score': 0.9979959919839679, 'support': 500.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 500.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 500.0}","{'precision': 1.0, 'recall': 0.982, 'f1-score': 0.9909182643794148, 'support': 500.0}","{'precision': 0.998003992015968, 'recall': 1.0, 'f1-score': 0.999000999000999, 'support': 500.0}","{'precision': 0.9918533604887984, 'recall': 0.974, 'f1-score': 0.9828456104944501, 'support': 500.0}","{'precision': 0.96875, 'recall': 0.992, 'f1-score': 0.9802371541501976, 'support': 500.0}",0.99275,"{'precision': 0.9928535324753246, 'recall': 0.99275, 'f1-score': 0.9927575727593214, 'support': 4000.0}","{'precision': 0.9928535324753245, 'recall': 0.99275, 'f1-score': 0.9927575727593213, 'support': 4000.0}",Brightness severity 4,"[0.998, 0.996, 1.0, 1.0, 0.982, 1.0, 0.974, 0.992]"
"{'precision': 0.9416195856873822, 'recall': 1.0, 'f1-score': 0.9699321047526673, 'support': 500.0}","{'precision': 1.0, 'recall': 0.976, 'f1-score': 0.9878542510121457, 'support': 500.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 500.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 500.0}","{'precision': 0.9914893617021276, 'recall': 0.932, 'f1-score': 0.9608247422680413, 'support': 500.0}","{'precision': 0.9842209072978304, 'recall': 0.998, 'f1-score': 0.9910625620655412, 'support': 500.0}","{'precision': 0.9673469387755103, 'recall': 0.948, 'f1-score': 0.9575757575757575, 'support': 500.0}","{'precision': 0.9396887159533074, 'recall': 0.966, 'f1-score': 0.9526627218934911, 'support': 500.0}",0.9775,"{'precision': 0.9780456886770198, 'recall': 0.9775, 'f1-score': 0.9774890174459556, 'support': 4000.0}","{'precision': 0.9780456886770198, 'recall': 0.9775, 'f1-score': 0.9774890174459556, 'support': 4000.0}",Brightness severity 5,"[1.0, 0.976, 1.0, 1.0, 0.932, 0.998, 0.948, 0.966]"
"{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 500.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 500.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 500.0}","{'precision': 0.998003992015968, 'recall': 1.0, 'f1-score': 0.999000999000999, 'support': 500.0}","{'precision': 1.0, 'recall': 0.996, 'f1-score': 0.9979959919839679, 'support': 500.0}","{'precision': 1.0, 'recall': 0.996, 'f1-score': 0.9979959919839679, 'support': 500.0}","{'precision': 1.0, 'recall': 0.998, 'f1-score': 0.998998998998999, 'support': 500.0}","{'precision': 0.9920634920634921, 'recall': 1.0, 'f1-score': 0.9960159362549801, 'support': 500.0}",0.99875,"{'precision': 0.9987584355099325, 'recall': 0.99875, 'f1-score': 0.9987509897778643, 'support': 4000.0}","{'precision': 0.9987584355099325, 'recall': 0.99875, 'f1-score': 0.9987509897778643, 'support': 4000.0}",Contrast severity 1,"[1.0, 1.0, 1.0, 1.0, 0.996, 0.996, 0.998, 1.0]"
"{'precision': 1.0, 'recall': 0.998, 'f1-score': 0.998998998998999, 'support': 500.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 500.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 500.0}","{'precision': 0.9940357852882704, 'recall': 1.0, 'f1-score': 0.9970089730807578, 'support': 500.0}","{'precision': 0.997979797979798, 'recall': 0.988, 'f1-score': 0.992964824120603, 'support': 500.0}","{'precision': 0.9979919678714859, 'recall': 0.994, 'f1-score': 0.9959919839679359, 'support': 500.0}","{'precision': 0.9861660079051383, 'recall': 0.998, 'f1-score': 0.9920477137176938, 'support': 500.0}","{'precision': 0.9899799599198397, 'recall': 0.988, 'f1-score': 0.988988988988989, 'support': 500.0}",0.99575,"{'precision': 0.9957691898705665, 'recall': 0.99575, 'f1-score': 0.9957501853593723, 'support': 4000.0}","{'precision': 0.9957691898705666, 'recall': 0.99575, 'f1-score': 0.9957501853593723, 'support': 4000.0}",Contrast severity 2,"[0.998, 1.0, 1.0, 1.0, 0.988, 0.994, 0.998, 0.988]"
"{'precision': 0.9879759519038076, 'recall': 0.986, 'f1-score': 0.986986986986987, 'support': 500.0}","{'precision': 1.0, 'recall': 0.982, 'f1-score': 0.9909182643794148, 'support': 500.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 500.0}","{'precision': 0.984251968503937, 'recall': 1.0, 'f1-score': 0.9920634920634921, 'support': 500.0}","{'precision': 0.9859154929577465, 'recall': 0.98, 'f1-score': 0.9829488465396189, 'support': 500.0}","{'precision': 0.9959432048681541, 'recall': 0.982, 'f1-score': 0.9889224572004028, 'support': 500.0}","{'precision': 0.9559386973180076, 'recall': 0.998, 'f1-score': 0.9765166340508806, 'support': 500.0}","{'precision': 0.9795918367346939, 'recall': 0.96, 'f1-score': 0.9696969696969697, 'support': 500.0}",0.986,"{'precision': 0.9862021440357933, 'recall': 0.986, 'f1-score': 0.9860067063647207, 'support': 4000.0}","{'precision': 0.9862021440357932, 'recall': 0.986, 'f1-score': 0.9860067063647207, 'support': 4000.0}",Contrast severity 3,"[0.986, 0.982, 1.0, 1.0, 0.98, 0.982, 0.998, 0.96]"
"{'precision': 0.932806324110672, 'recall': 0.944, 'f1-score': 0.9383697813121272, 'support': 500.0}","{'precision': 1.0, 'recall': 0.916, 'f1-score': 0.9561586638830898, 'support': 500.0}","{'precision': 0.998003992015968, 'recall': 1.0, 'f1-score': 0.999000999000999, 'support': 500.0}","{'precision': 0.9345794392523364, 'recall': 1.0, 'f1-score': 0.966183574879227, 'support': 500.0}","{'precision': 0.96579476861167, 'recall': 0.96, 'f1-score': 0.9628886659979939, 'support': 500.0}","{'precision': 0.9896049896049897, 'recall': 0.952, 'f1-score': 0.9704383282364933, 'support': 500.0}","{'precision': 0.8686514886164624, 'recall': 0.992, 'f1-score': 0.9262371615312792, 'support': 500.0}","{'precision': 0.9667405764966741, 'recall': 0.872, 'f1-score': 0.9169295478443743, 'support': 500.0}",0.9545,"{'precision': 0.9570226973385965, 'recall': 0.9544999999999999, 'f1-score': 0.954525840335698, 'support': 4000.0}","{'precision': 0.9570226973385966, 'recall': 0.9545, 'f1-score': 0.954525840335698, 'support': 4000.0}",Contrast severity 4,"[0.944, 0.916, 1.0, 1.0, 0.96, 0.952, 0.992, 0.872]"
"{'precision': 0.6977886977886978, 'recall': 0.568, 'f1-score': 0.6262403528114664, 'support': 500.0}","{'precision': 1.0, 'recall': 0.404, 'f1-score': 0.5754985754985755, 'support': 500.0}","{'precision': 0.9920634920634921, 'recall': 1.0, 'f1-score': 0.9960159362549801, 'support': 500.0}","{'precision': 0.576036866359447, 'recall': 1.0, 'f1-score': 0.7309941520467836, 'support': 500.0}","{'precision': 0.6805194805194805, 'recall': 0.524, 'f1-score': 0.592090395480226, 'support': 500.0}","{'precision': 0.8073217726396917, 'recall': 0.838, 'f1-score': 0.8223748773307163, 'support': 500.0}","{'precision': 0.5672009864364982, 'recall': 0.92, 'f1-score': 0.7017543859649122, 'support': 500.0}","{'precision': 0.7796052631578947, 'recall': 0.474, 'f1-score': 0.5895522388059702, 'support': 500.0}",0.716,"{'precision': 0.7625670698706503, 'recall': 0.716, 'f1-score': 0.7043151142742038, 'support': 4000.0}","{'precision': 0.7625670698706503, 'recall': 0.716, 'f1-score': 0.7043151142742038, 'support': 4000.0}",Contrast severity 5,"[0.568, 0.404, 1.0, 1.0, 0.524, 0.838, 0.92, 0.474]"
