0,1,2,3,4,5,6,7,accuracy,macro avg,weighted avg,corruption,acuraciaPorClasse
"{'precision': 0.9977777777777778, 'recall': 0.898, 'f1-score': 0.9452631578947368, 'support': 500.0}","{'precision': 0.8942652329749103, 'recall': 0.998, 'f1-score': 0.943289224952741, 'support': 500.0}","{'precision': 0.9979879275653923, 'recall': 0.992, 'f1-score': 0.9949849548645938, 'support': 500.0}","{'precision': 0.9670542635658915, 'recall': 0.998, 'f1-score': 0.9822834645669292, 'support': 500.0}","{'precision': 0.9915966386554622, 'recall': 0.944, 'f1-score': 0.9672131147540983, 'support': 500.0}","{'precision': 0.9919517102615694, 'recall': 0.986, 'f1-score': 0.9889669007021064, 'support': 500.0}","{'precision': 1.0, 'recall': 0.932, 'f1-score': 0.9648033126293996, 'support': 500.0}","{'precision': 0.9203703703703704, 'recall': 0.994, 'f1-score': 0.9557692307692308, 'support': 500.0}",0.96775,"{'precision': 0.9701254901464218, 'recall': 0.96775, 'f1-score': 0.9678216701417295, 'support': 4000.0}","{'precision': 0.9701254901464217, 'recall': 0.96775, 'f1-score': 0.9678216701417296, 'support': 4000.0}",Brightness severity 1,"[0.898, 0.998, 0.992, 0.998, 0.944, 0.986, 0.932, 0.994]"
"{'precision': 0.9934640522875817, 'recall': 0.912, 'f1-score': 0.9509906152241918, 'support': 500.0}","{'precision': 0.8573883161512027, 'recall': 0.998, 'f1-score': 0.922365988909427, 'support': 500.0}","{'precision': 1.0, 'recall': 0.992, 'f1-score': 0.9959839357429718, 'support': 500.0}","{'precision': 0.9688715953307393, 'recall': 0.996, 'f1-score': 0.9822485207100592, 'support': 500.0}","{'precision': 0.9911699779249448, 'recall': 0.898, 'f1-score': 0.9422875131164743, 'support': 500.0}","{'precision': 0.9919517102615694, 'recall': 0.986, 'f1-score': 0.9889669007021064, 'support': 500.0}","{'precision': 1.0, 'recall': 0.882, 'f1-score': 0.9373007438894793, 'support': 500.0}","{'precision': 0.8888888888888888, 'recall': 0.992, 'f1-score': 0.9376181474480151, 'support': 500.0}",0.957,"{'precision': 0.9614668176056158, 'recall': 0.9570000000000001, 'f1-score': 0.9572202957178406, 'support': 4000.0}","{'precision': 0.9614668176056158, 'recall': 0.957, 'f1-score': 0.9572202957178406, 'support': 4000.0}",Brightness severity 2,"[0.912, 0.998, 0.992, 0.996, 0.898, 0.986, 0.882, 0.992]"
"{'precision': 0.9935064935064936, 'recall': 0.918, 'f1-score': 0.9542619542619543, 'support': 500.0}","{'precision': 0.7583586626139818, 'recall': 0.998, 'f1-score': 0.8618307426597582, 'support': 500.0}","{'precision': 0.9979879275653923, 'recall': 0.992, 'f1-score': 0.9949849548645938, 'support': 500.0}","{'precision': 0.9745098039215686, 'recall': 0.994, 'f1-score': 0.9841584158415841, 'support': 500.0}","{'precision': 0.989821882951654, 'recall': 0.778, 'f1-score': 0.8712206047032475, 'support': 500.0}","{'precision': 0.9860279441117764, 'recall': 0.988, 'f1-score': 0.987012987012987, 'support': 500.0}","{'precision': 0.9975429975429976, 'recall': 0.812, 'f1-score': 0.8952590959206174, 'support': 500.0}","{'precision': 0.8496503496503497, 'recall': 0.972, 'f1-score': 0.9067164179104478, 'support': 500.0}",0.9315,"{'precision': 0.9434257577330267, 'recall': 0.9315, 'f1-score': 0.9319306466468988, 'support': 4000.0}","{'precision': 0.9434257577330268, 'recall': 0.9315, 'f1-score': 0.9319306466468988, 'support': 4000.0}",Brightness severity 3,"[0.918, 0.998, 0.992, 0.994, 0.778, 0.988, 0.812, 0.972]"
"{'precision': 0.9603340292275574, 'recall': 0.92, 'f1-score': 0.9397344228804902, 'support': 500.0}","{'precision': 0.653997378768021, 'recall': 0.998, 'f1-score': 0.7901821060965954, 'support': 500.0}","{'precision': 0.9979879275653923, 'recall': 0.992, 'f1-score': 0.9949849548645938, 'support': 500.0}","{'precision': 0.974155069582505, 'recall': 0.98, 'f1-score': 0.9770687936191426, 'support': 500.0}","{'precision': 0.990506329113924, 'recall': 0.626, 'f1-score': 0.7671568627450981, 'support': 500.0}","{'precision': 0.9777327935222672, 'recall': 0.966, 'f1-score': 0.971830985915493, 'support': 500.0}","{'precision': 0.9971181556195965, 'recall': 0.692, 'f1-score': 0.8170011806375442, 'support': 500.0}","{'precision': 0.7853577371048253, 'recall': 0.944, 'f1-score': 0.857402361489555, 'support': 500.0}",0.88975,"{'precision': 0.9171486775630111, 'recall': 0.88975, 'f1-score': 0.8894202085310641, 'support': 4000.0}","{'precision': 0.917148677563011, 'recall': 0.88975, 'f1-score': 0.8894202085310641, 'support': 4000.0}",Brightness severity 4,"[0.92, 0.998, 0.992, 0.98, 0.626, 0.966, 0.692, 0.944]"
"{'precision': 0.8133802816901409, 'recall': 0.924, 'f1-score': 0.8651685393258427, 'support': 500.0}","{'precision': 0.4681647940074906, 'recall': 1.0, 'f1-score': 0.6377551020408163, 'support': 500.0}","{'precision': 0.9978947368421053, 'recall': 0.948, 'f1-score': 0.9723076923076923, 'support': 500.0}","{'precision': 0.9403578528827038, 'recall': 0.946, 'f1-score': 0.9431704885343968, 'support': 500.0}","{'precision': 0.987012987012987, 'recall': 0.304, 'f1-score': 0.4648318042813456, 'support': 500.0}","{'precision': 0.9880668257756563, 'recall': 0.828, 'f1-score': 0.9009793253536452, 'support': 500.0}","{'precision': 0.984375, 'recall': 0.378, 'f1-score': 0.546242774566474, 'support': 500.0}","{'precision': 0.6280193236714976, 'recall': 0.78, 'f1-score': 0.695807314897413, 'support': 500.0}",0.7635,"{'precision': 0.8509089752353227, 'recall': 0.7635, 'f1-score': 0.7532828801634532, 'support': 4000.0}","{'precision': 0.8509089752353227, 'recall': 0.7635, 'f1-score': 0.7532828801634532, 'support': 4000.0}",Brightness severity 5,"[0.924, 1.0, 0.948, 0.946, 0.304, 0.828, 0.378, 0.78]"
"{'precision': 0.99375, 'recall': 0.636, 'f1-score': 0.775609756097561, 'support': 500.0}","{'precision': 0.5882352941176471, 'recall': 0.98, 'f1-score': 0.7351837959489872, 'support': 500.0}","{'precision': 1.0, 'recall': 0.908, 'f1-score': 0.9517819706498952, 'support': 500.0}","{'precision': 0.8477876106194691, 'recall': 0.958, 'f1-score': 0.8995305164319248, 'support': 500.0}","{'precision': 0.9813953488372092, 'recall': 0.422, 'f1-score': 0.5902097902097903, 'support': 500.0}","{'precision': 0.9936170212765958, 'recall': 0.934, 'f1-score': 0.9628865979381444, 'support': 500.0}","{'precision': 0.8758029978586723, 'recall': 0.818, 'f1-score': 0.8459152016546019, 'support': 500.0}","{'precision': 0.6937869822485208, 'recall': 0.938, 'f1-score': 0.7976190476190477, 'support': 500.0}",0.82425,"{'precision': 0.8717969068697643, 'recall': 0.82425, 'f1-score': 0.819842084568744, 'support': 4000.0}","{'precision': 0.8717969068697643, 'recall': 0.82425, 'f1-score': 0.819842084568744, 'support': 4000.0}",Contrast severity 1,"[0.636, 0.98, 0.908, 0.958, 0.422, 0.934, 0.818, 0.938]"
"{'precision': 0.8842105263157894, 'recall': 0.168, 'f1-score': 0.2823529411764706, 'support': 500.0}","{'precision': 0.2953156822810591, 'recall': 0.87, 'f1-score': 0.44095286365940195, 'support': 500.0}","{'precision': 0.9259259259259259, 'recall': 0.05, 'f1-score': 0.09487666034155598, 'support': 500.0}","{'precision': 0.38230240549828176, 'recall': 0.89, 'f1-score': 0.5348557692307693, 'support': 500.0}","{'precision': 0.21052631578947367, 'recall': 0.008, 'f1-score': 0.015414258188824663, 'support': 500.0}","{'precision': 1.0, 'recall': 0.302, 'f1-score': 0.46390168970814133, 'support': 500.0}","{'precision': 0.2894736842105263, 'recall': 0.022, 'f1-score': 0.040892193308550186, 'support': 500.0}","{'precision': 0.3117134559535334, 'recall': 0.644, 'f1-score': 0.4200913242009132, 'support': 500.0}",0.36925,"{'precision': 0.5374334994968237, 'recall': 0.36925, 'f1-score': 0.28666721247682836, 'support': 4000.0}","{'precision': 0.5374334994968237, 'recall': 0.36925, 'f1-score': 0.28666721247682836, 'support': 4000.0}",Contrast severity 2,"[0.168, 0.87, 0.05, 0.89, 0.008, 0.302, 0.022, 0.644]"
"{'precision': 0.8793103448275862, 'recall': 0.102, 'f1-score': 0.1827956989247312, 'support': 500.0}","{'precision': 0.18857901726427623, 'recall': 0.852, 'f1-score': 0.3088075389633925, 'support': 500.0}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 500.0}","{'precision': 0.3505244755244755, 'recall': 0.802, 'f1-score': 0.4878345498783455, 'support': 500.0}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 500.0}","{'precision': 1.0, 'recall': 0.054, 'f1-score': 0.10246679316888045, 'support': 500.0}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 500.0}","{'precision': 0.24032586558044808, 'recall': 0.236, 'f1-score': 0.23814328960645811, 'support': 500.0}",0.25575,"{'precision': 0.33234246289959823, 'recall': 0.25575, 'f1-score': 0.16500598381772597, 'support': 4000.0}","{'precision': 0.33234246289959823, 'recall': 0.25575, 'f1-score': 0.16500598381772597, 'support': 4000.0}",Contrast severity 3,"[0.102, 0.852, 0.0, 0.802, 0.0, 0.054, 0.0, 0.236]"
"{'precision': 0.9655172413793104, 'recall': 0.056, 'f1-score': 0.10586011342155009, 'support': 500.0}","{'precision': 0.16367713004484305, 'recall': 0.876, 'f1-score': 0.27581863979848864, 'support': 500.0}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 500.0}","{'precision': 0.3398230088495575, 'recall': 0.768, 'f1-score': 0.47116564417177914, 'support': 500.0}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 500.0}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 500.0}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 500.0}","{'precision': 0.15337423312883436, 'recall': 0.05, 'f1-score': 0.07541478129713423, 'support': 500.0}",0.21875,"{'precision': 0.20279895167531817, 'recall': 0.21875000000000003, 'f1-score': 0.116032397336119, 'support': 4000.0}","{'precision': 0.20279895167531817, 'recall': 0.21875, 'f1-score': 0.11603239733611902, 'support': 4000.0}",Contrast severity 4,"[0.056, 0.876, 0.0, 0.768, 0.0, 0.0, 0.0, 0.05]"
"{'precision': 1.0, 'recall': 0.026, 'f1-score': 0.050682261208576995, 'support': 500.0}","{'precision': 0.16808813077469795, 'recall': 0.946, 'f1-score': 0.28545564272782137, 'support': 500.0}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 500.0}","{'precision': 0.3380656610470275, 'recall': 0.762, 'f1-score': 0.4683466502765827, 'support': 500.0}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 500.0}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 500.0}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 500.0}","{'precision': 0.1956521739130435, 'recall': 0.018, 'f1-score': 0.03296703296703297, 'support': 500.0}",0.219,"{'precision': 0.2127257457168461, 'recall': 0.219, 'f1-score': 0.10468144839750175, 'support': 4000.0}","{'precision': 0.21272574571684613, 'recall': 0.219, 'f1-score': 0.10468144839750175, 'support': 4000.0}",Contrast severity 5,"[0.026, 0.946, 0.0, 0.762, 0.0, 0.0, 0.0, 0.018]"
