0,1,2,3,4,5,6,7,accuracy,macro avg,weighted avg,corruption,acuraciaPorClasse
"{'precision': 1.0, 'recall': 0.992, 'f1-score': 0.9959839357429718, 'support': 500.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 500.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 500.0}","{'precision': 0.9960159362549801, 'recall': 1.0, 'f1-score': 0.998003992015968, 'support': 500.0}","{'precision': 0.9920634920634921, 'recall': 1.0, 'f1-score': 0.9960159362549801, 'support': 500.0}","{'precision': 0.998, 'recall': 0.998, 'f1-score': 0.998, 'support': 500.0}","{'precision': 1.0, 'recall': 0.988, 'f1-score': 0.993963782696177, 'support': 500.0}","{'precision': 0.9900793650793651, 'recall': 0.998, 'f1-score': 0.9940239043824701, 'support': 500.0}",0.997,"{'precision': 0.9970198491747296, 'recall': 0.997, 'f1-score': 0.9969989438865708, 'support': 4000.0}","{'precision': 0.9970198491747296, 'recall': 0.997, 'f1-score': 0.996998943886571, 'support': 4000.0}",Brightness severity 1,"[0.992, 1.0, 1.0, 1.0, 1.0, 0.998, 0.988, 0.998]"
"{'precision': 1.0, 'recall': 0.994, 'f1-score': 0.9969909729187563, 'support': 500.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 500.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 500.0}","{'precision': 0.998003992015968, 'recall': 1.0, 'f1-score': 0.999000999000999, 'support': 500.0}","{'precision': 0.9880952380952381, 'recall': 0.996, 'f1-score': 0.9920318725099602, 'support': 500.0}","{'precision': 0.9940239043824701, 'recall': 0.998, 'f1-score': 0.9960079840319361, 'support': 500.0}","{'precision': 0.9979591836734694, 'recall': 0.978, 'f1-score': 0.9878787878787879, 'support': 500.0}","{'precision': 0.9822134387351779, 'recall': 0.994, 'f1-score': 0.9880715705765407, 'support': 500.0}",0.995,"{'precision': 0.9950369696127904, 'recall': 0.995, 'f1-score': 0.9949977733646225, 'support': 4000.0}","{'precision': 0.9950369696127904, 'recall': 0.995, 'f1-score': 0.9949977733646225, 'support': 4000.0}",Brightness severity 2,"[0.994, 1.0, 1.0, 1.0, 0.996, 0.998, 0.978, 0.994]"
"{'precision': 0.9979959919839679, 'recall': 0.996, 'f1-score': 0.996996996996997, 'support': 500.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 500.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 500.0}","{'precision': 0.998003992015968, 'recall': 1.0, 'f1-score': 0.999000999000999, 'support': 500.0}","{'precision': 0.9979633401221996, 'recall': 0.98, 'f1-score': 0.9889001009081736, 'support': 500.0}","{'precision': 0.9803921568627451, 'recall': 1.0, 'f1-score': 0.9900990099009901, 'support': 500.0}","{'precision': 0.9858012170385395, 'recall': 0.972, 'f1-score': 0.9788519637462235, 'support': 500.0}","{'precision': 0.9703557312252964, 'recall': 0.982, 'f1-score': 0.9761431411530815, 'support': 500.0}",0.99125,"{'precision': 0.9913140536560896, 'recall': 0.99125, 'f1-score': 0.991249026463308, 'support': 4000.0}","{'precision': 0.9913140536560895, 'recall': 0.99125, 'f1-score': 0.9912490264633081, 'support': 4000.0}",Brightness severity 3,"[0.996, 1.0, 1.0, 1.0, 0.98, 1.0, 0.972, 0.982]"
"{'precision': 0.9861660079051383, 'recall': 0.998, 'f1-score': 0.9920477137176938, 'support': 500.0}","{'precision': 0.9940357852882704, 'recall': 1.0, 'f1-score': 0.9970089730807578, 'support': 500.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 500.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 500.0}","{'precision': 0.997872340425532, 'recall': 0.938, 'f1-score': 0.9670103092783505, 'support': 500.0}","{'precision': 0.9633911368015414, 'recall': 1.0, 'f1-score': 0.9813542688910697, 'support': 500.0}","{'precision': 0.9856262833675564, 'recall': 0.96, 'f1-score': 0.9726443768996961, 'support': 500.0}","{'precision': 0.9533980582524272, 'recall': 0.982, 'f1-score': 0.967487684729064, 'support': 500.0}",0.98475,"{'precision': 0.9850612015050583, 'recall': 0.98475, 'f1-score': 0.9846941658245789, 'support': 4000.0}","{'precision': 0.9850612015050583, 'recall': 0.98475, 'f1-score': 0.9846941658245789, 'support': 4000.0}",Brightness severity 4,"[0.998, 1.0, 1.0, 1.0, 0.938, 1.0, 0.96, 0.982]"
"{'precision': 0.8588640275387264, 'recall': 0.998, 'f1-score': 0.9232192414431082, 'support': 500.0}","{'precision': 0.9958932238193019, 'recall': 0.97, 'f1-score': 0.9827760891590679, 'support': 500.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 500.0}","{'precision': 1.0, 'recall': 0.998, 'f1-score': 0.998998998998999, 'support': 500.0}","{'precision': 0.9902676399026764, 'recall': 0.814, 'f1-score': 0.893523600439078, 'support': 500.0}","{'precision': 0.9363295880149812, 'recall': 1.0, 'f1-score': 0.9671179883945842, 'support': 500.0}","{'precision': 0.9261477045908184, 'recall': 0.928, 'f1-score': 0.9270729270729271, 'support': 500.0}","{'precision': 0.9301848049281314, 'recall': 0.906, 'f1-score': 0.9179331306990881, 'support': 500.0}",0.95175,"{'precision': 0.9547108735993295, 'recall': 0.9517500000000001, 'f1-score': 0.9513302470258566, 'support': 4000.0}","{'precision': 0.9547108735993295, 'recall': 0.95175, 'f1-score': 0.9513302470258566, 'support': 4000.0}",Brightness severity 5,"[0.998, 0.97, 1.0, 0.998, 0.814, 1.0, 0.928, 0.906]"
"{'precision': 1.0, 'recall': 0.988, 'f1-score': 0.993963782696177, 'support': 500.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 500.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 500.0}","{'precision': 0.9940357852882704, 'recall': 1.0, 'f1-score': 0.9970089730807578, 'support': 500.0}","{'precision': 0.9959758551307847, 'recall': 0.99, 'f1-score': 0.9929789368104313, 'support': 500.0}","{'precision': 0.9803921568627451, 'recall': 1.0, 'f1-score': 0.9900990099009901, 'support': 500.0}","{'precision': 0.9881188118811881, 'recall': 0.998, 'f1-score': 0.9930348258706467, 'support': 500.0}","{'precision': 0.9979633401221996, 'recall': 0.98, 'f1-score': 0.9889001009081736, 'support': 500.0}",0.9945,"{'precision': 0.9945607436606485, 'recall': 0.9944999999999999, 'f1-score': 0.9944982036583971, 'support': 4000.0}","{'precision': 0.9945607436606485, 'recall': 0.9945, 'f1-score': 0.9944982036583969, 'support': 4000.0}",Contrast severity 1,"[0.988, 1.0, 1.0, 1.0, 0.99, 1.0, 0.998, 0.98]"
"{'precision': 0.9899598393574297, 'recall': 0.986, 'f1-score': 0.9879759519038076, 'support': 500.0}","{'precision': 1.0, 'recall': 0.988, 'f1-score': 0.993963782696177, 'support': 500.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 500.0}","{'precision': 0.984251968503937, 'recall': 1.0, 'f1-score': 0.9920634920634921, 'support': 500.0}","{'precision': 0.9873949579831933, 'recall': 0.94, 'f1-score': 0.9631147540983607, 'support': 500.0}","{'precision': 0.9259259259259259, 'recall': 1.0, 'f1-score': 0.9615384615384616, 'support': 500.0}","{'precision': 0.9540229885057471, 'recall': 0.996, 'f1-score': 0.974559686888454, 'support': 500.0}","{'precision': 0.987012987012987, 'recall': 0.912, 'f1-score': 0.9480249480249481, 'support': 500.0}",0.97775,"{'precision': 0.9785710834111525, 'recall': 0.97775, 'f1-score': 0.9776551346517126, 'support': 4000.0}","{'precision': 0.9785710834111526, 'recall': 0.97775, 'f1-score': 0.9776551346517126, 'support': 4000.0}",Contrast severity 2,"[0.986, 0.988, 1.0, 1.0, 0.94, 1.0, 0.996, 0.912]"
"{'precision': 0.9392789373814042, 'recall': 0.99, 'f1-score': 0.9639727361246349, 'support': 500.0}","{'precision': 1.0, 'recall': 0.968, 'f1-score': 0.983739837398374, 'support': 500.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 500.0}","{'precision': 0.9861386138613861, 'recall': 0.996, 'f1-score': 0.991044776119403, 'support': 500.0}","{'precision': 0.9835680751173709, 'recall': 0.838, 'f1-score': 0.9049676025917927, 'support': 500.0}","{'precision': 0.8431703204047217, 'recall': 1.0, 'f1-score': 0.9149130832570905, 'support': 500.0}","{'precision': 0.9252336448598131, 'recall': 0.99, 'f1-score': 0.9565217391304348, 'support': 500.0}","{'precision': 0.9837209302325581, 'recall': 0.846, 'f1-score': 0.9096774193548387, 'support': 500.0}",0.9535,"{'precision': 0.9576388152321568, 'recall': 0.9535, 'f1-score': 0.9531046492470711, 'support': 4000.0}","{'precision': 0.9576388152321568, 'recall': 0.9535, 'f1-score': 0.9531046492470712, 'support': 4000.0}",Contrast severity 3,"[0.99, 0.968, 1.0, 0.996, 0.838, 1.0, 0.99, 0.846]"
"{'precision': 0.8223350253807107, 'recall': 0.972, 'f1-score': 0.8909257561869844, 'support': 500.0}","{'precision': 1.0, 'recall': 0.842, 'f1-score': 0.9142236699239956, 'support': 500.0}","{'precision': 0.998003992015968, 'recall': 1.0, 'f1-score': 0.999000999000999, 'support': 500.0}","{'precision': 0.9686192468619247, 'recall': 0.926, 'f1-score': 0.9468302658486708, 'support': 500.0}","{'precision': 0.9464285714285714, 'recall': 0.636, 'f1-score': 0.7607655502392344, 'support': 500.0}","{'precision': 0.684931506849315, 'recall': 1.0, 'f1-score': 0.8130081300813008, 'support': 500.0}","{'precision': 0.8576576576576577, 'recall': 0.952, 'f1-score': 0.9023696682464455, 'support': 500.0}","{'precision': 0.9587628865979382, 'recall': 0.744, 'f1-score': 0.8378378378378378, 'support': 500.0}",0.884,"{'precision': 0.9045923608490107, 'recall': 0.884, 'f1-score': 0.8831202346706835, 'support': 4000.0}","{'precision': 0.9045923608490106, 'recall': 0.884, 'f1-score': 0.8831202346706837, 'support': 4000.0}",Contrast severity 4,"[0.972, 0.842, 1.0, 0.926, 0.636, 1.0, 0.952, 0.744]"
"{'precision': 0.5647058823529412, 'recall': 0.672, 'f1-score': 0.6136986301369863, 'support': 500.0}","{'precision': 0.9767441860465116, 'recall': 0.252, 'f1-score': 0.40063593004769477, 'support': 500.0}","{'precision': 0.9803921568627451, 'recall': 1.0, 'f1-score': 0.9900990099009901, 'support': 500.0}","{'precision': 0.7540106951871658, 'recall': 0.282, 'f1-score': 0.4104803493449782, 'support': 500.0}","{'precision': 0.6206896551724138, 'recall': 0.072, 'f1-score': 0.12903225806451613, 'support': 500.0}","{'precision': 0.27317608337904553, 'recall': 0.996, 'f1-score': 0.4287559190701679, 'support': 500.0}","{'precision': 0.5972222222222222, 'recall': 0.516, 'f1-score': 0.5536480686695279, 'support': 500.0}","{'precision': 0.849624060150376, 'recall': 0.452, 'f1-score': 0.5900783289817232, 'support': 500.0}",0.53025,"{'precision': 0.7020706176716776, 'recall': 0.53025, 'f1-score': 0.514553561777073, 'support': 4000.0}","{'precision': 0.7020706176716776, 'recall': 0.53025, 'f1-score': 0.514553561777073, 'support': 4000.0}",Contrast severity 5,"[0.672, 0.252, 1.0, 0.282, 0.072, 0.996, 0.516, 0.452]"
